Week,china,putin,iran,refugee,syria
2014-03-23 - 2014-03-29,48,7,6,1,3
2014-03-30 - 2014-04-05,48,5,6,1,3
2014-04-06 - 2014-04-12,47,3,6,1,3
2014-04-13 - 2014-04-19,47,4,6,1,3
2014-04-20 - 2014-04-26,49,4,6,1,2
2014-04-27 - 2014-05-03,47,3,6,1,3
2014-05-04 - 2014-05-10,48,4,7,1,3
2014-05-11 - 2014-05-17,49,3,7,1,2
2014-05-18 - 2014-05-24,51,3,7,1,2
2014-05-25 - 2014-05-31,49,2,7,1,2
2014-06-01 - 2014-06-07,46,3,8,1,2
2014-06-08 - 2014-06-14,43,2,10,1,3
2014-06-15 - 2014-06-21,44,2,52,1,3
2014-06-22 - 2014-06-28,44,2,27,1,3
2014-06-29 - 2014-07-05,42,2,8,1,3
2014-07-06 - 2014-07-12,43,2,8,1,3
2014-07-13 - 2014-07-19,43,5,8,1,3
2014-07-20 - 2014-07-26,46,8,7,1,3
2014-07-27 - 2014-08-02,47,4,7,1,3
2014-08-03 - 2014-08-09,49,4,7,1,3
2014-08-10 - 2014-08-16,46,3,7,1,3
2014-08-17 - 2014-08-23,47,3,6,1,4
2014-08-24 - 2014-08-30,47,4,6,1,4
2014-08-31 - 2014-09-06,46,5,7,1,3
2014-09-07 - 2014-09-13,46,3,8,1,4
2014-09-14 - 2014-09-20,50,3,8,1,4
2014-09-21 - 2014-09-27,49,2,7,1,8
2014-09-28 - 2014-10-04,51,2,6,1,4
2014-10-05 - 2014-10-11,49,3,6,1,4
2014-10-12 - 2014-10-18,47,4,6,1,3
2014-10-19 - 2014-10-25,46,3,6,1,3
2014-10-26 - 2014-11-01,46,4,6,1,3
2014-11-02 - 2014-11-08,47,3,7,1,2
2014-11-09 - 2014-11-15,51,5,6,1,3
2014-11-16 - 2014-11-22,48,5,6,1,3
2014-11-23 - 2014-11-29,46,3,6,1,2
2014-11-30 - 2014-12-06,46,3,6,1,2
2014-12-07 - 2014-12-13,46,3,6,1,2
2014-12-14 - 2014-12-20,45,4,6,1,2
2014-12-21 - 2014-12-27,43,3,6,0,2
2014-12-28 - 2015-01-03,46,3,6,1,2
2015-01-04 - 2015-01-10,45,2,6,1,2
2015-01-11 - 2015-01-17,47,3,7,1,2
2015-01-18 - 2015-01-24,46,2,9,1,2
2015-01-25 - 2015-01-31,45,3,7,1,2
2015-02-01 - 2015-02-07,45,3,6,1,3
2015-02-08 - 2015-02-14,46,5,7,1,3
2015-02-15 - 2015-02-21,45,5,6,1,2
2015-02-22 - 2015-02-28,44,4,7,1,3
2015-03-01 - 2015-03-07,46,5,8,1,2
2015-03-08 - 2015-03-14,46,9,10,1,2
2015-03-15 - 2015-03-21,45,11,8,1,2
2015-03-22 - 2015-03-28,45,4,9,1,2
2015-03-29 - 2015-04-04,45,3,14,1,3
2015-04-05 - 2015-04-11,47,3,10,1,2
2015-04-12 - 2015-04-18,49,3,8,1,2
2015-04-19 - 2015-04-25,48,3,8,1,2
2015-04-26 - 2015-05-02,47,2,8,1,2
2015-05-03 - 2015-05-09,47,2,7,1,2
2015-05-10 - 2015-05-16,47,3,7,1,2
2015-05-17 - 2015-05-23,48,3,7,1,3
2015-05-24 - 2015-05-30,46,2,6,1,2
2015-05-31 - 2015-06-06,49,2,7,1,2
2015-06-07 - 2015-06-13,47,3,6,1,2
2015-06-14 - 2015-06-20,45,2,6,1,2
2015-06-21 - 2015-06-27,49,2,6,1,2
2015-06-28 - 2015-07-04,46,2,7,1,2
2015-07-05 - 2015-07-11,51,2,7,1,2
2015-07-12 - 2015-07-18,47,2,16,1,2
2015-07-19 - 2015-07-25,47,2,10,1,2
2015-07-26 - 2015-08-01,51,2,9,1,2
2015-08-02 - 2015-08-08,47,2,10,1,2
2015-08-09 - 2015-08-15,73,2,8,1,2
2015-08-16 - 2015-08-22,55,2,8,1,2
2015-08-23 - 2015-08-29,55,2,8,1,3
2015-08-30 - 2015-09-05,52,3,9,5,11
2015-09-06 - 2015-09-12,48,2,11,7,17
2015-09-13 - 2015-09-19,47,3,9,5,10
2015-09-20 - 2015-09-26,48,3,7,3,7
2015-09-27 - 2015-10-03,50,8,10,2,10
2015-10-04 - 2015-10-10,52,6,8,2,10
2015-10-11 - 2015-10-17,48,4,8,2,8
2015-10-18 - 2015-10-24,50,3,7,2,7
2015-10-25 - 2015-10-31,52,3,7,2,6
2015-11-01 - 2015-11-07,48,3,6,2,5
2015-11-08 - 2015-11-14,49,4,7,2,8
2015-11-15 - 2015-11-21,49,16,8,7,25
2015-11-22 - 2015-11-28,44,12,7,3,12
2015-11-29 - 2015-12-05,47,8,6,2,14
2015-12-06 - 2015-12-12,47,5,7,2,7
2015-12-13 - 2015-12-19,52,7,7,2,5
2015-12-20 - 2015-12-26,47,5,7,1,5
2015-12-27 - 2016-01-02,46,4,7,1,4
2016-01-03 - 2016-01-09,52,3,13,2,4
2016-01-10 - 2016-01-16,50,3,12,2,4
2016-01-17 - 2016-01-23,48,3,12,2,4
2016-01-24 - 2016-01-30,50,3,9,2,4
2016-01-31 - 2016-02-06,48,3,7,2,5
2016-02-07 - 2016-02-13,46,3,7,2,5
2016-02-14 - 2016-02-20,47,3,8,2,6
2016-02-21 - 2016-02-27,47,3,7,2,5
2016-02-28 - 2016-03-05,46,3,8,2,5
