Week,china,putin,iran,refugee,syria
2006-05-07 - 2006-05-13,67,1,17,1,2
2006-05-14 - 2006-05-20,65,1,15,1,2
2006-05-21 - 2006-05-27,63,1,14,1,2
2006-05-28 - 2006-06-03,59,0,14,1,2
2006-06-04 - 2006-06-10,59,0,15,1,1
2006-06-11 - 2006-06-17,57,0,20,1,1
2006-06-18 - 2006-06-24,55,0,15,2,1
2006-06-25 - 2006-07-01,52,1,10,1,2
2006-07-02 - 2006-07-08,53,1,9,1,1
2006-07-09 - 2006-07-15,54,1,11,1,3
2006-07-16 - 2006-07-22,53,1,12,1,5
2006-07-23 - 2006-07-29,53,1,11,1,3
2006-07-30 - 2006-08-05,55,0,11,1,3
2006-08-06 - 2006-08-12,57,0,12,1,2
2006-08-13 - 2006-08-19,57,0,14,1,2
2006-08-20 - 2006-08-26,56,0,14,1,2
2006-08-27 - 2006-09-02,55,0,12,1,2
2006-09-03 - 2006-09-09,57,0,12,1,1
2006-09-10 - 2006-09-16,56,0,10,1,2
2006-09-17 - 2006-09-23,58,0,12,1,2
2006-09-24 - 2006-09-30,60,0,10,1,1
2006-10-01 - 2006-10-07,56,0,10,1,1
2006-10-08 - 2006-10-14,59,1,10,1,1
2006-10-15 - 2006-10-21,58,1,10,1,1
2006-10-22 - 2006-10-28,57,1,9,1,1
2006-10-29 - 2006-11-04,58,1,10,1,1
2006-11-05 - 2006-11-11,57,1,10,1,1
2006-11-12 - 2006-11-18,60,1,11,1,2
2006-11-19 - 2006-11-25,55,1,10,1,2
2006-11-26 - 2006-12-02,57,1,10,1,2
2006-12-03 - 2006-12-09,57,1,10,1,1
2006-12-10 - 2006-12-16,53,1,11,1,2
2006-12-17 - 2006-12-23,50,1,10,1,1
2006-12-24 - 2006-12-30,51,1,10,1,1
2006-12-31 - 2007-01-06,53,0,10,1,1
2007-01-07 - 2007-01-13,54,1,11,1,2
2007-01-14 - 2007-01-20,55,1,11,1,1
2007-01-21 - 2007-01-27,55,1,11,1,1
2007-01-28 - 2007-02-03,55,1,11,1,1
2007-02-04 - 2007-02-10,55,1,11,1,2
2007-02-11 - 2007-02-17,53,2,12,1,2
2007-02-18 - 2007-02-24,51,1,12,1,1
2007-02-25 - 2007-03-03,58,1,13,1,2
2007-03-04 - 2007-03-10,58,1,10,1,1
2007-03-11 - 2007-03-17,57,1,10,1,2
2007-03-18 - 2007-03-24,58,1,11,1,2
2007-03-25 - 2007-03-31,56,1,18,1,1
2007-04-01 - 2007-04-07,54,0,17,1,2
2007-04-08 - 2007-04-14,57,1,12,1,2
2007-04-15 - 2007-04-21,57,1,10,1,1
