Week,brexit,zika,migrant,gold,oil
2014-03-23 - 2014-03-29,0,0,0,56,46
2014-03-30 - 2014-04-05,0,0,0,55,45
2014-04-06 - 2014-04-12,0,0,0,54,44
2014-04-13 - 2014-04-19,0,0,0,55,44
2014-04-20 - 2014-04-26,0,0,0,55,44
2014-04-27 - 2014-05-03,0,0,0,56,44
2014-05-04 - 2014-05-10,0,0,0,53,45
2014-05-11 - 2014-05-17,0,0,0,52,43
2014-05-18 - 2014-05-24,0,0,0,54,43
2014-05-25 - 2014-05-31,0,0,0,58,42
2014-06-01 - 2014-06-07,0,0,0,59,42
2014-06-08 - 2014-06-14,0,0,0,55,42
2014-06-15 - 2014-06-21,0,0,0,55,42
2014-06-22 - 2014-06-28,0,0,0,55,42
2014-06-29 - 2014-07-05,0,0,0,53,42
2014-07-06 - 2014-07-12,0,0,0,55,43
2014-07-13 - 2014-07-19,0,0,0,56,44
2014-07-20 - 2014-07-26,0,0,0,56,44
2014-07-27 - 2014-08-02,0,0,0,57,43
2014-08-03 - 2014-08-09,0,0,0,56,44
2014-08-10 - 2014-08-16,0,0,0,54,44
2014-08-17 - 2014-08-23,0,0,0,54,44
2014-08-24 - 2014-08-30,0,0,0,54,43
2014-08-31 - 2014-09-06,0,0,0,53,42
2014-09-07 - 2014-09-13,0,0,0,56,43
2014-09-14 - 2014-09-20,0,0,0,58,43
2014-09-21 - 2014-09-27,0,0,0,58,43
2014-09-28 - 2014-10-04,0,0,0,58,43
2014-10-05 - 2014-10-11,0,0,0,57,44
2014-10-12 - 2014-10-18,0,0,0,56,46
2014-10-19 - 2014-10-25,0,0,0,56,44
2014-10-26 - 2014-11-01,0,0,0,60,45
2014-11-02 - 2014-11-08,0,0,0,65,46
2014-11-09 - 2014-11-15,0,0,0,63,47
2014-11-16 - 2014-11-22,0,0,0,60,47
2014-11-23 - 2014-11-29,0,0,0,61,46
2014-11-30 - 2014-12-06,0,0,0,64,49
2014-12-07 - 2014-12-13,0,0,0,63,52
2014-12-14 - 2014-12-20,0,0,0,62,53
2014-12-21 - 2014-12-27,0,0,0,64,46
2014-12-28 - 2015-01-03,0,0,0,63,50
2015-01-04 - 2015-01-10,0,0,0,58,57
2015-01-11 - 2015-01-17,0,0,0,59,58
2015-01-18 - 2015-01-24,0,0,0,60,55
2015-01-25 - 2015-01-31,0,0,0,57,53
2015-02-01 - 2015-02-07,0,0,0,56,55
2015-02-08 - 2015-02-14,0,0,0,57,53
2015-02-15 - 2015-02-21,0,0,0,57,53
2015-02-22 - 2015-02-28,0,0,0,95,52
2015-03-01 - 2015-03-07,0,0,0,71,50
2015-03-08 - 2015-03-14,0,0,0,65,51
2015-03-15 - 2015-03-21,0,0,0,60,52
2015-03-22 - 2015-03-28,0,0,0,58,50
2015-03-29 - 2015-04-04,0,0,0,58,51
2015-04-05 - 2015-04-11,0,0,0,60,52
2015-04-12 - 2015-04-18,0,0,0,59,51
2015-04-19 - 2015-04-25,0,0,1,59,51
2015-04-26 - 2015-05-02,0,0,0,60,50
2015-05-03 - 2015-05-09,0,0,0,57,50
2015-05-10 - 2015-05-16,0,0,0,57,48
2015-05-17 - 2015-05-23,0,1,0,56,49
2015-05-24 - 2015-05-30,0,1,0,57,48
2015-05-31 - 2015-06-06,0,1,0,56,48
2015-06-07 - 2015-06-13,0,1,0,56,48
2015-06-14 - 2015-06-20,0,1,0,55,47
2015-06-21 - 2015-06-27,0,0,0,58,47
2015-06-28 - 2015-07-04,0,0,0,59,48
2015-07-05 - 2015-07-11,0,0,0,65,50
2015-07-12 - 2015-07-18,0,0,0,66,51
2015-07-19 - 2015-07-25,0,0,0,83,50
2015-07-26 - 2015-08-01,0,0,0,75,51
2015-08-02 - 2015-08-08,0,0,0,68,51
2015-08-09 - 2015-08-15,0,0,0,67,52
2015-08-16 - 2015-08-22,0,0,0,65,53
2015-08-23 - 2015-08-29,0,0,1,66,54
2015-08-30 - 2015-09-05,0,0,2,62,52
2015-09-06 - 2015-09-12,0,0,2,64,50
2015-09-13 - 2015-09-19,0,0,2,61,48
2015-09-20 - 2015-09-26,0,0,1,61,49
2015-09-27 - 2015-10-03,0,0,1,62,50
2015-10-04 - 2015-10-10,0,0,1,59,52
2015-10-11 - 2015-10-17,0,0,1,60,50
2015-10-18 - 2015-10-24,0,0,1,59,48
2015-10-25 - 2015-10-31,0,0,1,61,48
2015-11-01 - 2015-11-07,0,0,1,61,49
2015-11-08 - 2015-11-14,0,0,1,64,49
2015-11-15 - 2015-11-21,0,1,1,63,51
2015-11-22 - 2015-11-28,0,1,0,64,49
2015-11-29 - 2015-12-05,0,2,0,66,49
2015-12-06 - 2015-12-12,0,3,0,67,53
2015-12-13 - 2015-12-19,0,2,0,66,53
2015-12-20 - 2015-12-26,0,2,0,70,48
2015-12-27 - 2016-01-02,0,2,0,69,53
2016-01-03 - 2016-01-09,0,2,1,65,57
2016-01-10 - 2016-01-16,0,3,1,62,61
2016-01-17 - 2016-01-23,0,9,1,63,66
2016-01-24 - 2016-01-30,0,36,1,65,61
2016-01-31 - 2016-02-06,0,48,1,63,58
2016-02-07 - 2016-02-13,0,23,1,65,58
2016-02-14 - 2016-02-20,1,16,0,63,57
2016-02-21 - 2016-02-27,2,13,1,63,56
2016-02-28 - 2016-03-05,1,11,1,64,55
