Week,brexit,zika,migrant,gold,oil
2005-05-08 - 2005-05-14,0,0,1,42,38
2005-05-15 - 2005-05-21,0,0,1,42,37
2005-05-22 - 2005-05-28,0,0,1,42,36
2005-05-29 - 2005-06-04,0,0,1,43,35
2005-06-05 - 2005-06-11,0,0,1,42,35
2005-06-12 - 2005-06-18,0,0,0,41,35
2005-06-19 - 2005-06-25,0,0,0,41,38
2005-06-26 - 2005-07-02,0,0,0,44,37
2005-07-03 - 2005-07-09,0,0,0,44,36
2005-07-10 - 2005-07-16,0,0,0,45,38
2005-07-17 - 2005-07-23,0,0,0,44,36
2005-07-24 - 2005-07-30,0,0,0,44,36
2005-07-31 - 2005-08-06,0,0,0,43,38
2005-08-07 - 2005-08-13,0,0,0,45,42
2005-08-14 - 2005-08-20,0,0,0,45,45
2005-08-21 - 2005-08-27,0,0,0,45,43
2005-08-28 - 2005-09-03,0,0,0,44,55
2005-09-04 - 2005-09-10,0,0,1,45,44
2005-09-11 - 2005-09-17,0,0,0,46,41
2005-09-18 - 2005-09-24,0,0,1,47,43
2005-09-25 - 2005-10-01,0,0,0,46,41
2005-10-02 - 2005-10-08,0,0,1,46,40
2005-10-09 - 2005-10-15,0,0,1,47,40
2005-10-16 - 2005-10-22,0,0,1,46,39
2005-10-23 - 2005-10-29,0,0,1,45,38
2005-10-30 - 2005-11-05,0,0,1,46,37
2005-11-06 - 2005-11-12,0,0,0,46,37
2005-11-13 - 2005-11-19,0,0,1,46,37
2005-11-20 - 2005-11-26,0,0,0,45,35
2005-11-27 - 2005-12-03,0,0,1,49,37
2005-12-04 - 2005-12-10,0,0,1,50,35
2005-12-11 - 2005-12-17,0,0,0,51,37
2005-12-18 - 2005-12-24,0,0,0,49,33
2005-12-25 - 2005-12-31,0,0,0,48,31
2006-01-01 - 2006-01-07,0,0,0,49,35
2006-01-08 - 2006-01-14,0,0,0,47,35
2006-01-15 - 2006-01-21,0,0,0,47,36
2006-01-22 - 2006-01-28,0,0,0,46,38
2006-01-29 - 2006-02-04,0,0,0,48,38
2006-02-05 - 2006-02-11,0,0,0,49,38
2006-02-12 - 2006-02-18,0,0,1,50,36
2006-02-19 - 2006-02-25,0,0,0,50,36
2006-02-26 - 2006-03-04,0,0,0,48,37
2006-03-05 - 2006-03-11,0,0,1,46,35
2006-03-12 - 2006-03-18,0,0,0,47,35
2006-03-19 - 2006-03-25,0,0,1,45,36
2006-03-26 - 2006-04-01,0,0,1,44,36
2006-04-02 - 2006-04-08,0,0,1,46,35
2006-04-09 - 2006-04-15,0,0,0,47,37
2006-04-16 - 2006-04-22,0,0,0,49,43
2006-04-23 - 2006-04-29,0,0,0,47,44
2006-04-30 - 2006-05-06,0,0,1,50,43
2006-05-07 - 2006-05-13,0,0,1,51,38
2006-05-14 - 2006-05-20,0,0,1,50,37
2006-05-21 - 2006-05-27,0,0,0,48,35
2006-05-28 - 2006-06-03,0,0,0,45,34
2006-06-04 - 2006-06-10,0,0,0,46,35
2006-06-11 - 2006-06-17,0,0,0,48,34
2006-06-18 - 2006-06-24,0,0,0,47,34
2006-06-25 - 2006-07-01,0,0,0,44,34
2006-07-02 - 2006-07-08,0,0,0,45,32
2006-07-09 - 2006-07-15,0,0,0,46,36
2006-07-16 - 2006-07-22,0,0,0,46,37
2006-07-23 - 2006-07-29,0,0,0,47,35
2006-07-30 - 2006-08-05,0,0,0,46,35
2006-08-06 - 2006-08-12,0,0,0,47,38
2006-08-13 - 2006-08-19,0,0,0,47,37
2006-08-20 - 2006-08-26,0,0,0,45,35
2006-08-27 - 2006-09-02,0,0,0,44,35
2006-09-03 - 2006-09-09,0,0,0,43,36
2006-09-10 - 2006-09-16,0,0,0,46,37
2006-09-17 - 2006-09-23,0,0,0,46,36
2006-09-24 - 2006-09-30,0,0,0,45,36
2006-10-01 - 2006-10-07,0,0,0,45,36
2006-10-08 - 2006-10-14,0,0,0,45,34
2006-10-15 - 2006-10-21,0,0,0,45,34
2006-10-22 - 2006-10-28,0,0,0,43,34
2006-10-29 - 2006-11-04,0,0,0,44,34
2006-11-05 - 2006-11-11,0,0,0,43,33
2006-11-12 - 2006-11-18,0,0,0,44,32
2006-11-19 - 2006-11-25,0,0,0,43,30
2006-11-26 - 2006-12-02,0,0,0,45,31
2006-12-03 - 2006-12-09,0,0,0,46,32
2006-12-10 - 2006-12-16,0,0,0,45,30
2006-12-17 - 2006-12-23,0,0,0,45,28
2006-12-24 - 2006-12-30,0,0,0,47,27
2006-12-31 - 2007-01-06,0,0,0,47,32
2007-01-07 - 2007-01-13,0,0,0,44,33
2007-01-14 - 2007-01-20,0,0,0,43,33
2007-01-21 - 2007-01-27,0,0,0,44,34
2007-01-28 - 2007-02-03,0,0,0,45,33
2007-02-04 - 2007-02-10,0,0,0,43,32
2007-02-11 - 2007-02-17,0,0,0,44,32
2007-02-18 - 2007-02-24,0,0,0,45,31
2007-02-25 - 2007-03-03,0,0,0,45,31
2007-03-04 - 2007-03-10,0,0,0,43,31
2007-03-11 - 2007-03-17,0,0,0,44,31
2007-03-18 - 2007-03-24,0,0,0,42,30
2007-03-25 - 2007-03-31,0,0,0,41,31
2007-04-01 - 2007-04-07,0,0,0,43,31
2007-04-08 - 2007-04-14,0,0,0,43,31
2007-04-15 - 2007-04-21,0,0,0,44,31
2007-04-22 - 2007-04-28,0,0,0,44,31
2007-04-29 - 2007-05-05,0,0,0,44,33
2007-05-06 - 2007-05-12,0,0,0,43,32
2007-05-13 - 2007-05-19,0,0,0,43,32
2007-05-20 - 2007-05-26,0,0,0,43,32
2007-05-27 - 2007-06-02,0,0,0,42,30
2007-06-03 - 2007-06-09,0,0,0,45,31
2007-06-10 - 2007-06-16,0,0,0,47,30
2007-06-17 - 2007-06-23,0,0,0,45,30
2007-06-24 - 2007-06-30,0,0,0,44,30
2007-07-01 - 2007-07-07,0,0,0,42,29
2007-07-08 - 2007-07-14,0,0,0,43,31
